"","Scleractinian","Gorgonia","Black_coral","Hydroids","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others","CCA"
"40_TUATIK1_24",25.33,0,0,0,0,1.33,0,0,0,0,1.33
"40_TUATIK1_25",46.67,0,0,0,0,1.33,0,0,0,0,2.67
"40_TUATIK1_26",26.66,0,0,0,0,0,0,0,0,0,4
"40_TUATIK1_27",41.32,0,0,0,0,2.67,0,0,0,0,10.67
"40_TUATIK1_28",54.67,0,0,0,0,0,0,0,0,0,1.33
"40_TUATIK1_29",36,0,0,0,0,1.33,0,0,0,0,16
"40_TUATIK1_30",46.67,0,0,0,0,1.33,0,0,0,0,4
"40_TUATIK2_1",61.33,0,0,0,0,6.67,0,0,0,0,2.67
"40_TUATIK2_2",30.66,0,0,0,0,14.67,17.33,0,1.33,0,6.67
"40_TUATIK2_3",9.33,0,0,0,0,20,1.33,0,0,0,8
"40_TUATIK2_4",8,0,0,0,0,17.33,0,0,1.33,0,6.67
"40_TUATIK2_5",66.67,0,0,0,0,6.67,0,0,0,0,2.67
"40_TUATIK2_6",58.66,0,0,0,0,4,2.66,0,0,0,5.33
"40_TUATIK2_7",90.67,0,0,0,0,0,1.33,0,0,0,2.67
"40_TUATIK2_8",69.32,0,0,0,1.33,0,2.67,0,0,0,1.33
"40_TUATIK2_9",69.33,0,0,0,0,0,0,0,2.67,0,5.33
"40_TUATIK2_10",75.99,0,0,0,0,0,1.33,0,0,0,4
"40_TUATIK2_11",56,0,0,0,0,12,1.33,0,0,0,8
"40_TUATIK2_12",40,0,0,0,0,5.33,6.67,0,0,0,9.33
"40_TUATIK2_13",50.66,0,0,0,0,2.66,5.33,0,0,0,4
"40_TUATIK2_14",18.66,0,0,0,0,13.33,2.67,0,0,2.67,6.67
"40_TUATIK2_15",39.99,0,0,0,0,2.67,2.67,0,4,0,1.33
"40_TUATIK2_16",41.33,0,0,0,0,8,4,0,0,0,0
"40_TUATIK2_17",45.33,0,0,0,0,1.33,6.67,0,0,0,8
"40_TUATIK2_18",71.99,0,0,0,0,2.67,8,0,0,0,2.67
"40_TUATIK2_19",60,0,0,0,0,1.33,2.67,0,0,1.33,0
"40_TUATIK2_20",70.67,0,0,0,0,0,10.67,0,1.33,0,1.33
"40_TUATIK2_21",42.67,0,0,0,0,18.67,17.33,0,0,0,10.67
"40_TUATIK2_22",57.32,0,0,0,0,1.33,1.33,0,0,0,0
"40_TUATIK2_23",88,0,0,0,0,0,1.33,0,0,0,2.67
"40_TUATIK2_24",58.66,0,0,0,0,5.33,0,0,1.33,0,1.33
"40_TUATIK2_25",55.98,0,0,0,0,6.67,5.34,0,0,0,6.67
"40_TUATIK2_26",45.34,0,0,0,0,0,0,0,4,0,2.67
"40_TUATIK2_27",18.65,0,0,0,0,16,10.67,0,1.33,0,9.33
"40_TUATIK2_28",82.67,0,0,0,0,1.33,2.67,0,0,0,0
"40_TUATIK2_29",22.66,0,0,0,0,1.33,0,0,0,0,2.67
"40_TUATIK2_30",36,0,0,0,0,9.33,2.67,0,0,0,5.33
